id,voo_id,codigo_reserva,nome_passageiro,preco,prim_classe,lugar,no_serie
1,677,4753,Passageiro 5092,267.9,False,27A,AirbusA320-0001
2,114,8631,Passageiro 4786,87.6,False,9A,AirbusA320-0001
3,564,7721,Passageiro 2861,213.2,False,5D,EmbraerE195-0002
4,571,6078,Passageiro 1976,291.4,False,24E,EmbraerE195-0002
5,619,4330,Passageiro 2105,729.92,True,1C,Boeing737-0009
6,787,773,Passageiro 1596,387.13,False,16A,EmbraerE195-0011
7,654,3796,Passageiro 3060,880.41,True,3C,Boeing737-0006
8,778,5634,Passageiro 5287,440.03,False,24A,EmbraerE195-0011
9,459,3819,Passageiro 1489,292.35,False,8A,EmbraerE195-0008
10,975,899,Passageiro 6123,341.67,False,13E,Boeing737-0009
11,611,1808,Passageiro 5748,113.12,False,18C,Boeing737-0006
12,189,1776,Passageiro 7552,303.19,False,27A,Boeing737-0009
13,825,8027,Passageiro 2975,101.07,False,6C,Boeing737-0009
14,450,8148,Passageiro 8215,211.46,False,18D,EmbraerE195-0005
15,797,1458,Passageiro 9256,54.91,False,24F,Boeing737-0003
16,967,5471,Passageiro 1518,146.36,False,10C,Boeing737-0009
17,377,5043,Passageiro 1466,142.76,False,16A,Boeing737-0003
18,971,7127,Passageiro 2178,103.65,False,13F,EmbraerE195-0008
19,487,538,Passageiro 4340,418.69,False,27C,Boeing737-0003
20,649,364,Passageiro 8247,451.36,False,13C,EmbraerE195-0002
21,489,9999,Passageiro 7685,804.47,True,2C,EmbraerE195-0011
22,748,8169,Passageiro 4577,521.46,True,3A,AirbusA320-0007
23,66,7113,Passageiro 2191,374.92,False,18C,AirbusA320-0010
24,464,9528,Passageiro 1659,597.16,True,3A,EmbraerE195-0002
25,1037,9050,Passageiro 9739,193.63,False,27E,Boeing737-0009
26,305,2860,Passageiro 4372,108.92,False,29B,Boeing737-0009
27,618,9215,Passageiro 9280,76.85,False,19E,Boeing737-0009
28,713,1403,Passageiro 5014,444.46,False,10E,AirbusA320-0004
29,156,1554,Passageiro 2502,186.98,False,25E,EmbraerE195-0011
30,828,539,Passageiro 3834,207.96,False,29E,Boeing737-0003
31,680,8472,Passageiro 1419,375.23,False,7C,EmbraerE195-0011
32,967,797,Passageiro 2126,182.51,False,6C,Boeing737-0009
33,191,4440,Passageiro 5085,317.09,False,9C,EmbraerE195-0002
34,862,8021,Passageiro 4007,224.21,False,7E,Boeing737-0000
35,695,5616,Passageiro 7471,728.32,True,3E,EmbraerE195-0011
36,446,7747,Passageiro 6245,183.19,False,22D,EmbraerE195-0008
37,551,4321,Passageiro 6279,328.35,False,11E,EmbraerE195-0008
38,271,3625,Passageiro 4556,464.42,False,8D,Boeing737-0006
39,425,8908,Passageiro 3283,452.31,False,10F,Boeing737-0003
40,101,4682,Passageiro 3634,270.02,False,17A,AirbusA320-0001
41,423,8050,Passageiro 9239,66.43,False,10B,EmbraerE195-0002
42,268,1828,Passageiro 2995,159.92,False,22F,AirbusA320-0004
43,525,7932,Passageiro 2823,307.12,False,26B,AirbusA320-0004
44,488,7495,Passageiro 4265,66.82,False,27E,Boeing737-0000
45,787,1950,Passageiro 2127,218.87,True,3E,EmbraerE195-0011
46,819,1737,Passageiro 7708,316.26,False,15A,AirbusA320-0001
47,545,9030,Passageiro 4054,438.63,False,14D,Boeing737-0006
48,841,9381,Passageiro 1934,447.29,False,7C,EmbraerE195-0011
49,534,1670,Passageiro 4724,919.97,True,1C,Boeing737-0009
50,662,2137,Passageiro 5951,103.26,False,19F,AirbusA320-0004
51,287,5758,Passageiro 8444,291.76,False,17D,EmbraerE195-0008
52,482,5340,Passageiro 5573,307.93,False,15E,AirbusA320-0007
53,324,2231,Passageiro 9156,410.68,False,21D,AirbusA320-0004
54,463,6291,Passageiro 7544,339.68,True,2B,AirbusA320-0010
55,992,9902,Passageiro 4935,791.06,True,2F,EmbraerE195-0002
56,466,4934,Passageiro 7854,448.15,False,25B,EmbraerE195-0002
57,404,725,Passageiro 2634,392.44,False,21A,AirbusA320-0007
58,875,9309,Passageiro 8304,456.83,False,4D,Boeing737-0006
59,313,8276,Passageiro 8721,179.28,False,7D,Boeing737-0000
60,803,342,Passageiro 4928,206.01,False,15B,EmbraerE195-0011
